DISTRICTNAME,UNITNAME,Year,TotalAccidents
Bagalkot,Amengad PS,2016,50
Bagalkot,Amengad PS,2017,28
Bagalkot,Amengad PS,2018,32
Bagalkot,Amengad PS,2019,30
Bagalkot,Amengad PS,2020,41
Bagalkot,Amengad PS,2021,34
Bagalkot,Amengad PS,2022,39
Bagalkot,Amengad PS,2023,27
Bagalkot,Badami PS,2016,43
Bagalkot,Badami PS,2017,54
Bagalkot,Badami PS,2018,56
Bagalkot,Badami PS,2019,58
Bagalkot,Badami PS,2020,42
Bagalkot,Badami PS,2021,40
Bagalkot,Badami PS,2022,54
Bagalkot,Badami PS,2023,62
Bagalkot,Bagalkot Rural PS,2016,70
Bagalkot,Bagalkot Rural PS,2017,63
Bagalkot,Bagalkot Rural PS,2018,77
Bagalkot,Bagalkot Rural PS,2019,64
Bagalkot,Bagalkot Rural PS,2020,71
Bagalkot,Bagalkot Rural PS,2021,57
Bagalkot,Bagalkot Rural PS,2022,62
Bagalkot,Bagalkot Rural PS,2023,44
Bagalkot,Bagalkot Traffic PS,2016,80
Bagalkot,Bagalkot Traffic PS,2017,69
Bagalkot,Bagalkot Traffic PS,2018,78
Bagalkot,Bagalkot Traffic PS,2019,71
Bagalkot,Bagalkot Traffic PS,2020,46
Bagalkot,Bagalkot Traffic PS,2021,56
Bagalkot,Bagalkot Traffic PS,2022,59
Bagalkot,Bagalkot Traffic PS,2023,51
Bagalkot,Banahatti PS,2016,26
Bagalkot,Banahatti PS,2017,17
Bagalkot,Banahatti PS,2018,33
Bagalkot,Banahatti PS,2019,39
Bagalkot,Banahatti PS,2020,39
Bagalkot,Banahatti PS,2021,34
Bagalkot,Banahatti PS,2022,36
Bagalkot,Banahatti PS,2023,46
Bagalkot,Bilagi PS,2016,69
Bagalkot,Bilagi PS,2017,56
Bagalkot,Bilagi PS,2018,78
Bagalkot,Bilagi PS,2019,53
Bagalkot,Bilagi PS,2020,73
Bagalkot,Bilagi PS,2021,65
Bagalkot,Bilagi PS,2022,59
Bagalkot,Bilagi PS,2023,46
Bagalkot,Guledagudda PS,2016,18
Bagalkot,Guledagudda PS,2017,11
Bagalkot,Guledagudda PS,2018,20
Bagalkot,Guledagudda PS,2019,20
Bagalkot,Guledagudda PS,2020,18
Bagalkot,Guledagudda PS,2021,18
Bagalkot,Guledagudda PS,2022,22
Bagalkot,Guledagudda PS,2023,22
Bagalkot,Hungunda PS,2016,49
Bagalkot,Hungunda PS,2017,57
Bagalkot,Hungunda PS,2018,40
Bagalkot,Hungunda PS,2019,40
Bagalkot,Hungunda PS,2020,39
Bagalkot,Hungunda PS,2021,40
Bagalkot,Hungunda PS,2022,47
Bagalkot,Hungunda PS,2023,34
Bagalkot,Ilakal PS,2016,20
Bagalkot,Ilakal PS,2017,13
Bagalkot,Ilakal PS,2018,14
Bagalkot,Ilakal PS,2019,30
Bagalkot,Ilakal PS,2020,27
Bagalkot,Ilakal PS,2021,15
Bagalkot,Ilakal PS,2022,8
Bagalkot,Ilakal PS,2023,11
Bagalkot,Ilakal Rural PS,2017,24
Bagalkot,Ilakal Rural PS,2018,34
Bagalkot,Ilakal Rural PS,2019,23
Bagalkot,Ilakal Rural PS,2020,25
Bagalkot,Ilakal Rural PS,2021,24
Bagalkot,Ilakal Rural PS,2022,27
Bagalkot,Ilakal Rural PS,2023,24
Bagalkot,Jamakhandi Rural PS,2016,46
Bagalkot,Jamakhandi Rural PS,2017,41
Bagalkot,Jamakhandi Rural PS,2018,51
Bagalkot,Jamakhandi Rural PS,2019,49
Bagalkot,Jamakhandi Rural PS,2020,42
Bagalkot,Jamakhandi Rural PS,2021,48
Bagalkot,Jamakhandi Rural PS,2022,53
Bagalkot,Jamakhandi Rural PS,2023,52
Bagalkot,Jamakhandi Town PS,2016,23
Bagalkot,Jamakhandi Town PS,2017,22
Bagalkot,Jamakhandi Town PS,2018,18
Bagalkot,Jamakhandi Town PS,2019,21
Bagalkot,Jamakhandi Town PS,2020,16
Bagalkot,Jamakhandi Town PS,2021,15
Bagalkot,Jamakhandi Town PS,2022,19
Bagalkot,Jamakhandi Town PS,2023,23
Bagalkot,Kaladagi PS,2016,62
Bagalkot,Kaladagi PS,2017,43
Bagalkot,Kaladagi PS,2018,34
Bagalkot,Kaladagi PS,2019,38
Bagalkot,Kaladagi PS,2020,40
Bagalkot,Kaladagi PS,2021,30
Bagalkot,Kaladagi PS,2022,44
Bagalkot,Kaladagi PS,2023,34
Bagalkot,Kerur PS,2016,52
Bagalkot,Kerur PS,2017,40
Bagalkot,Kerur PS,2018,54
Bagalkot,Kerur PS,2019,58
Bagalkot,Kerur PS,2020,54
Bagalkot,Kerur PS,2021,57
Bagalkot,Kerur PS,2022,59
Bagalkot,Kerur PS,2023,40
Bagalkot,Lokapur PS,2016,52
Bagalkot,Lokapur PS,2017,49
Bagalkot,Lokapur PS,2018,50
Bagalkot,Lokapur PS,2019,62
Bagalkot,Lokapur PS,2020,45
